"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Canada,"4,591,149",,"51,249",,"4,500,536","+1,341","39,364",99,"119,597","1,335","66,343,123","1,728,207","38,388,419","Last updated: March 01, 2023, 13:47 "
Peru,"4,486,034",+281,"219,439",+8,"4,264,598",+264,"1,997",38,"133,179","6,515","38,041,008","1,129,343","33,684,208","Last updated: March 01, 2023, 13:47 "
Switzerland,"4,389,655",,"14,452",,"4,371,249",,"3,954",39,"500,323","1,647","23,833,472","2,716,487","8,773,637","Last updated: March 01, 2023, 13:47 "
Philippines,"4,076,418",+121,"66,118",+7,"4,001,070",+99,"9,230",162,"36,232",588,"34,603,075","307,558","112,508,994","Last updated: March 01, 2023, 13:47 "
South Africa,"4,063,573",,"102,595",,"3,912,506",,"48,472",192,"66,883","1,689","26,795,090","441,027","60,756,135","Last updated: March 01, 2023, 13:47 "
Romania,"3,340,342",,"67,704",,"3,263,301","+3,200","9,337",115,"175,518","3,558","26,676,248","1,401,701","19,031,335","Last updated: March 01, 2023, 13:47 "
Denmark,"3,175,264",+69,"8,269",+4,"3,166,080",+68,915,19,"544,180","1,417","129,197,382","22,141,986","5,834,950","Last updated: March 01, 2023, 13:47 "
Hong Kong,"2,883,453",+107,"13,460",+3,"2,848,855","+1,981","21,138",28,"379,187","1,770","76,127,725","10,011,143","7,604,299","Last updated: March 01, 2023, 13:47 "
Sweden,"2,697,827",,"23,633",,"2,670,647",+70,"3,547",9,"264,002","2,313","19,469,139","1,905,196","10,218,971","Last updated: March 01, 2023, 13:47 "
Serbia,"2,492,563",,"17,826",,"2,460,904",,"13,833",16,"288,057","2,060","12,396,861","1,432,664","8,653,016","Last updated: March 01, 2023, 13:47 "
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965","Last updated: March 01, 2023, 13:47 "
Singapore,"2,222,006",,"1,722",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546","Last updated: March 01, 2023, 13:47 "
New Zealand,"2,216,852",,"3,904",,"2,205,354",,"7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203","Last updated: March 01, 2023, 13:47 "
Hungary,"2,195,926",+957,"48,751",+6,"2,143,184",+502,"3,991",13,"228,593","5,075","11,394,556","1,186,160","9,606,259","Last updated: March 01, 2023, 13:47 "
Bangladesh,"2,037,829",+11,"29,445",,"1,998,448",,"9,936",N/A,"12,138",175,"15,254,399","90,862","167,885,689","Last updated: March 01, 2023, 13:47 "
